rooms,size,level,max_levels,price,district_Мирабадский,district_Мирзо-Улугбекский,district_Олмазорский,district_Сергелийский,district_Учтепинский,district_Чиланзарский,district_Шайхантахурский,district_Юнусабадский,district_Яккасарайский,district_Янгихаётский,district_Яшнободский
3,57.0,4,4,52000.0,0,0,0,0,0,0,0,1,0,0,0
2,52.0,4,5,56000.0,0,0,0,0,0,0,0,0,1,0,0
2,42.0,4,4,37000.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,1,4,49500.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,3,5,55000.0,0,0,0,0,0,1,0,0,0,0,0
1,28.0,1,4,25500.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,2,4,21200.0,0,0,0,0,0,1,0,0,0,0,0
2,32.0,5,5,20000.0,0,0,0,0,0,0,0,0,1,0,0
2,51.0,3,4,26200.0,0,0,0,0,1,0,0,0,0,0,0
1,30.0,1,4,22200.0,0,0,0,0,0,1,0,0,0,0,0
2,30.0,2,5,24200.0,0,0,0,0,1,0,0,0,0,0,0
3,67.0,2,5,30200.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,2,4,21200.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,2,4,21200.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,2,4,21200.0,0,0,0,0,0,1,0,0,0,0,0
1,35.0,1,5,22500.0,0,0,0,0,0,1,0,0,0,0,0
1,43.0,4,4,22500.0,0,0,0,0,0,1,0,0,0,0,0
2,51.0,2,4,21200.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,1,4,32500.0,0,1,0,0,0,0,0,0,0,0,0
2,51.0,2,4,22200.0,0,0,0,0,0,1,0,0,0,0,0
2,51.0,2,4,24200.0,0,0,0,0,0,1,0,0,0,0,0
4,90.0,5,5,45000.0,0,0,0,0,0,0,0,0,1,0,0
4,80.0,3,4,56000.0,0,0,0,0,0,1,0,0,0,0,0
2,70.0,5,5,47000.0,0,0,0,0,0,0,0,0,0,0,1
3,69.0,1,4,49900.0,0,1,0,0,0,0,0,0,0,0,0
3,80.0,2,4,76000.0,1,0,0,0,0,0,0,0,0,0,0
3,96.0,3,4,65000.0,0,0,0,0,1,0,0,0,0,0,0
4,76.0,4,4,47500.0,0,0,0,0,1,0,0,0,0,0,0
2,45.0,4,5,30000.0,0,0,0,0,1,0,0,0,0,0,0
1,27.0,3,4,32000.0,0,0,0,0,0,1,0,0,0,0,0
2,65.0,3,9,44000.0,0,0,0,0,1,0,0,0,0,0,0
2,64.0,3,4,56500.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,5,9,35000.0,0,0,0,0,0,1,0,0,0,0,0
1,26.0,2,4,23500.0,0,0,0,0,0,1,0,0,0,0,0
4,76.0,5,5,60500.0,0,0,0,0,1,0,0,0,0,0,0
3,80.0,2,4,68000.0,0,0,0,0,0,1,0,0,0,0,0
3,72.0,5,5,41500.0,0,0,0,0,0,1,0,0,0,0,0
